Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 Gonzaga, DC                                 1     0     0    31     0   82.639
   2 Centreville                                15     0     0   680   169   78.899
   3 Good Counsel, MD                            1     0     0    35    10   78.135
   4 St. John's, DC                              1     0     0    17     7   75.185
   5 McDonough School, MD                        2     0     0    70    28   74.804
   6 Oscar Smith                                14     1     0   642   103   73.906
   7 Lake Braddock                              12     1     0   595   164   73.705
   8 L.C. Bird                                  15     0     0   669   100   73.415
   9 DeMatha, MD                                 2     0     0    73    34   73.137
  10 Charlotte Christian, NC                     1     0     0    32    31   72.427
  11 Westfield                                  11     3     0   393   224   72.371
  12 Dinwiddie                                  15     0     0   719   127   71.397
  13 Briar Woods                                13     2     0   597   191   71.169
  14 North Stafford                             11     3     0   451   193   69.211
  15 Bullis, MD                                  2     0     0   104    25   69.117
  16 Woodberry Forest                            8     1     0   340   110   69.045
  17 Massaponax                                 12     1     0   514   264   68.995
  18 Colonial Forge                             10     4     0   357   237   68.470
  19 Ocean Lakes                                12     1     0   615   151   67.803
  20 Robinson                                    8     4     0   387   238   67.764
  21 Liberty Christian                           9     2     0   401   239   67.498
  22 South County                                9     3     0   550   299   67.053
  23 Stone Bridge                                9     3     0   428   207   66.964
  24 Hylton                                     10     2     0   421   172   66.761
  25 Collegiate                                  9     2     0   336   157   66.403
  26 Bishop O'Connell                            5     5     0   263   228   66.157
  27 Martinsburg, WV                             1     1     0    61    48   65.235
  28 Lake Taylor                                10     3     0   447   125   65.230
  29 Sullivan South, TN                          1     0     0    40     7   65.018
  30 Patriot                                     8     3     0   377   224   64.957
  31 Atlee                                      11     2     0   460   213   64.904
  32 Langley                                     9     3     0   481   265   64.879
  33 Northside                                  14     1     0   512   178   64.862
  34 Varina                                      9     3     0   420   221   64.698
  35 Mountain View                               8     4     0   298   266   64.686
  36 Broad Run                                   9     4     0   452   238   64.593
  37 Forest Park                                 9     4     0   245   159   64.536
  38 T.C. Williams                               7     4     0   242   244   64.492
  39 Sherando                                   13     2     0   498   224   64.447
  40 Hermitage                                   9     3     0   428   194   64.383
  41 Middlesboro, KY                             1     0     0    27     6   63.818
  42 Tuscarora                                   9     3     0   377   255   63.799
  43 Phoebus                                    10     2     0   448   132   63.782
  44 Benedictine                                 6     4     0   241   191   63.760
  45 Chantilly                                   5     6     0   346   339   63.629
  46 Highland Springs                            8     3     0   426   255   63.354
  47 Stonewall Jackson(M)                        8     5     0   421   390   63.068
  48 Western Branch                             10     2     0   479   241   62.973
  49 Yorktown                                    9     3     0   323   207   62.707
  50 Salem                                      11     3     0   500   224   62.656
  51 Woodgrove                                   9     4     0   429   183   61.843
  52 Fairfax                                     7     4     0   291   216   61.564
  53 Battlefield                                 6     5     0   233   203   61.554
  54 Washington-Lee                              8     3     0   252   207   61.528
  55 Salem(VB)                                  11     3     0   371   163   61.448
  56 Courtland                                  10     3     0   471   222   61.398
  57 Heritage(NN)                               12     2     0   403   249   61.021
  58 Woodbridge                                  6     5     0   237   254   61.004
  59 Morehead, NC                                1     0     0    32     0   60.903
  60 Bluefield, WV                               3     0     0   159    59   60.615
  61 Douglas Freeman                            10     2     0   340   225   60.555
  62 Providence Day, NC                          0     1     0    28    43   60.529
  63 Lafayette                                  12     1     0   608   140   60.507
  64 St. Christopher's                           6     4     0   259   188   60.469
  65 William Byrd                                9     3     0   337   256   60.341
  66 Oakton                                      5     5     0   228   263   60.106
  67 Heritage(Lyn)                              13     1     0   495   252   60.077
  68 Patrick Henry(R)                            8     3     0   302   189   60.050
