Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 EDENTON HOLMES, NC                          1     0     0    52     0  177.683
   2 LANDON, MD                                  1     0     0    42     0  151.148
   3 WOODROW WILSON, DC                          1     0     0    41     0  147.527
   4 DEMATHA, MD                                 1     0     0    42     7  137.706
   5 WOODBRIDGE, DE                              1     0     0    40     0  129.615
   6 DINWIDDIE                                   7     0     0   345    87  129.417
   7 L.C. BIRD                                   6     1     0   299    48  128.908
   8 GLENOAK, OH                                 1     0     0    42    17  128.622
   9 VANCE, NC                                   1     0     0    48     7  126.909
  10 HERMITAGE                                   6     1     0   250    83  126.156
  11 MANCHESTER                                  6     1     0   271   128  125.672
  12 HERITAGE(NN)                                6     0     0   208    79  125.619
  13 SOUTH LAKES                                 7     0     0   320   104  124.205
  14 HIGHLAND SPRINGS                            5     1     0   219    57  123.883
  15 MONACAN                                     7     1     0   372   113  123.709
  16 PINECREST, NC                               1     0     0    47    43  123.583
  17 THOMAS DALE                                 5     2     0   224   106  123.465
  18 DOUGLAS FREEMAN                             7     0     0   253    68  123.255
  19 EASTERN VIEW                                7     0     0   280    73  123.132
  20 HAMPTON                                     6     1     0   231    73  122.421
  21 LAKE BRADDOCK                               6     1     0   268    68  122.420
  22 OSCAR SMITH                                 6     1     0   205    80  121.475
  23 WOODGROVE                                   7     0     0   302    94  121.465
  24 JAMES MADISON                               6     1     0   222    83  121.399
  25 SPRING MILLS, WV                            1     0     0    36    13  121.028
  26 CENTREVILLE                                 6     1     0   210    72  121.011
  27 APPOMATTOX COUNTY                           7     0     0   263    66  120.817
  28 MARTINSBURG, WV                             2     0     0    80    41  120.253
  29 HOPEWELL                                    6     1     0   210   152  120.217
  30 STONE BRIDGE                                5     2     0   217    85  120.199
  31 SOUTH COUNTY                                6     1     0   309   175  119.946
  32 BROAD RUN                                   5     2     0   163    81  119.405
  33 LAKE TAYLOR                                 6     1     0   282   143  119.218
  34 VARINA                                      4     3     0   166   120  119.130
  35 WEST POTOMAC                                6     1     0   285   149  119.041
  36 HENRICO                                     5     2     0   258    72  118.933
  37 WESTFIELD                                   5     2     0   203   127  118.872
  38 POTOMAC FALLS                               6     1     0   206   117  118.866
  39 RICHLANDS                                   8     0     0   357   106  118.481
  40 WOODSIDE                                    6     2     0   301   107  118.405
  41 JAMES RIVER(C)                              4     3     0   229   183  118.371
  42 ST. FRANCES ACADEMY, MD                     1     0     0    28    21  118.180
  43 LEE-DAVIS                                   5     2     0   240   113  118.155
  44 PAINTSVILLE, KY                             1     0     0    38     0  118.060
  45 GEORGETOWN PREP, MD                         3     0     0    99    20  118.009
  46 LOUISA COUNTY                               6     1     0   244   138  117.981
  47 LAFAYETTE                                   7     0     0   305    69  117.961
  48 RIVERHEADS                                  7     0     0   322    83  117.931
  49 CHANCELLOR                                  5     2     0   236   187  117.894
  50 WOODBERRY FOREST                            5     1     0   259   147  117.813
  51 LORD BOTETOURT                              7     0     0   374    73  117.720
  52 PATRICK HENRY(A)                            6     1     0   226   117  117.704
  53 SALEM                                       6     1     0   351   110  117.569
  54 AMHERST COUNTY                              6     1     0   285   145  117.272
  55 HAYFIELD                                    6     1     0   338   129  117.063
  56 MEADOWBROOK                                 2     4     0    79   146  117.006
  57 BRIAR WOODS                                 3     5     0   219   200  116.853
  58 MASSAPONAX                                  6     1     0   268   113  116.828
  59 DAN RIVER                                   6     1     0   273    55  116.757
  60 STUARTS DRAFT                               7     0     0   198    42  116.725
  61 COSBY                                       4     3     0   134   162  116.659
  62 WILLIAM BYRD                                6     1     0   226   105  116.628
  63 ATLEE                                       3     3     0   142   120  116.372
  64 MATOACA                                     4     3     0   184   186  116.324
  65 EAST HARDY, WV                              1     0     0    42     6  116.072
  66 BROOKE POINT                                7     0     0   363   185  116.053
  67 COLONIAL FORGE                              7     1     0   319   124  115.974
  68 PHOEBUS                                     6     1     0   189    80  115.700
  69 POWHATAN                                    5     2     0   180   109  115.538
  70 DOMINION                                    6     2     0   206   104  115.485
  71 KING GEORGE                                 6     1     0   300    54  115.439
  72 NORVIEW                                     5     2     0   296    94  115.071
  73 BROOKVILLE                                  6     2     0   250   161  115.070
  74 SHERANDO                                    3     3     0   251   117  114.912
  75 GRAHAM                                      6     1     0   276   143  114.844
  76 TUSCARORA                                   5     3     0   212   157  114.756
  77 BISHOP MCNAMARA, MD                         1     1     0    77    78  114.591
  78 PATRICK HENRY(R)                            6     1     0   207    90  114.189
  79 ALBEMARLE                                   5     2     0   195   160  114.110
  80 ARCHBISHOP CURLEY, MD                       1     0     0    27     6  114.087
  81 GRASSFIELD                                  6     1     0   207    77  114.027
  82 EPISCOPAL                                   5     0     0   169    40  114.015
  83 ROBINSON                                    3     4     0   198   160  113.952
  84 T.C. WILLIAMS                               3     4     0   123   218  113.524
  85 MILLBROOK                                   6     1     0   294   141  113.374
  86 MILLS GODWIN                                4     3     0   191   150  113.097
  87 DEEP RUN                                    4     3     0   144   168  112.987
  88 HILLSIDE, NC                                1     0     0    43     6  112.685
  89 RIVERBEND                                   5     3     0   165   133  112.643
  90 OAKTON                                      2     5     0   110   169  112.372
  91 STAUNTON RIVER                              6     2     0   306   167  112.355
  92 JAMES MONROE                                5     2     0   196    83  112.209
  93 E.C. GLASS                                  5     2     0   191   174  112.121
